Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
Chapadão do Sul;2012;8000;85,7;0;381,6;348,6;364,2;73,6
Chapadão do Sul;2013;8000;88,1;0;420;381,5;388,5;60,3
Chapadão do Sul;2014;9000;91,9;0;420;744,6;301,6;70,3
Chapadão do Sul;2015;9600;105,9;0;458;964;563,4;92,7
Chapadão do Sul;2016;9600;116,4;0;500;932,5;463,9;90
Chapadão do Sul;2017;9600;110,3;0;540;930,3;449,2;90,9
Chapadão do Sul;2018;9600;131,7;0;520;913,4;430,8;89,7
Chapadão do Sul;2019;6000;106,2;0;500;635,6;542,3;60,5
Chapadão do Sul;2020;6000;125,6;0;520;485,4;376,4;57,6
Chapadão do Sul;2021;6000;120,4;0;545;982,1;693,3;59,8
Chapadão do Sul;2022;6000;185,4;0;700;2390;922,3;159,7
Primavera do Leste;2006;6000;156,7;22,2;180;421,1;198,5;38,2
Primavera do Leste;2007;6000;161,6;22,2;180;546,1;200,9;44,1
Primavera do Leste;2008;6000;152,5;22,2;162,5;685,4;178,6;37,7
Primavera do Leste;2009;6000;181,8;23,8;230;774,2;165,9;43,4
Primavera do Leste;2010;6000;166,4;23,8;286,3;552,9;101,5;35,3
Primavera do Leste;2011;6000;180,3;34,9;194;579,6;90,8;50,7
Primavera do Leste;2012;6000;193;39,7;194;807,5;113,9;61,8
Primavera do Leste;2013;6000;181,2;52,8;210,4;854,5;115;52,9
Primavera do Leste;2014;6000;82,7;0;430;591,8;246,4;44,8
Primavera do Leste;2015;6000;109,1;0;430;658,8;325,9;64,6
Primavera do Leste;2016;6000;116,8;0;430;657,9;328,8;65,2
Primavera do Leste;2017;6000;122;0;450;574,2;299,9;65
Primavera do Leste;2018;6000;122;0;450;588;270,4;34,8
Primavera do Leste;2019;6000;135;0;420;701,6;318,3;59,7
Primavera do Leste;2020;6000;135,4;0;420;788,9;347,9;55,4
Primavera do Leste;2021;6000;127,3;0;430;1010,6;412,7;43,8
Primavera do Leste;2022;6000;262,3;0;531;2347,9;474,5;156,2
Campo Mourão;2006;6000;129,7;2,9;205;268,1;172,4;32,8
Campo Mourão;2007;6000;131,8;3,6;189,6;344,4;175,9;34,7
Campo Mourão;2008;7000;103,8;7,2;208,7;680,9;206,6;69,2
Campo Mourão;2009;7000;119,1;6,6;211,5;787,6;231;75,1
Campo Mourão;2010;7000;109,3;7,8;216,7;564,8;170,9;50,2
Campo Mourão;2011;7000;111;7,8;210,8;697,3;164,2;60,5
Campo Mourão;2012;7000;114,9;7,1;218,1;855,3;200,7;65,9
Campo Mourão;2013;7000;101,1;12,6;298,2;746,8;222,9;64,9
Campo Mourão;2014;7000;110,3;12,6;393;752,8;247,8;61,4
Campo Mourão;2015;8500;192,5;48,9;432,1;687;472,5;70,6
Campo Mourão;2016;8500;192,9;48,9;472,5;665,8;503,6;72,8
Campo Mourão;2017;8500;195;48,9;593,6;664,9;502,1;78,3
Campo Mourão;2018;8500;203,5;52;530,3;680,9;471,1;75,8
Campo Mourão;2019;6500;130,9;0;580;663,1;574,9;74,8
Campo Mourão;2020;6500;134,7;0;605;645,9;565,2;81,1
Campo Mourão;2021;6500;140;0;677;1182,9;636,9;78,6
Campo Mourão;2022;6500;241,8;0;820,4;2100,9;925,7;170,2
Londrina;2006;6000;220,8;8,3;205;353,6;155,1;41,7
Londrina;2007;6000;225,4;10,3;189,6;418,7;160,4;41,3
Londrina;2008;6750;119,7;18,9;208,8;598,1;181,3;167,5
Londrina;2009;6750;134,1;18,9;269;503,2;217;137,8
Londrina;2010;6750;126,2;15,4;230;359,4;151,9;38,4
Londrina;2011;6750;129,6;17,6;300;431;143,5;47,1
Londrina;2012;6750;136,1;19,8;365;474,2;159,5;51,4
Londrina;2013;6750;122;20,4;374,8;593,5;194,5;49,7
Londrina;2014;6750;130,7;20,4;430,6;554,8;202;50,9
Londrina;2015;8000;304,3;83,2;20;886,2;416,2;80,7
Londrina;2016;8000;313,5;83,2;26,7;789,9;401,1;76,8
Londrina;2017;8000;322,6;83,2;570;766,3;431,5;108,3
Londrina;2018;8000;378,6;166,3;540;786,6;491;106,4
Londrina;2019;5700;306;8,5;650;558,1;363,8;74,3
Londrina;2020;5700;352,1;9,1;705;640,2;371,2;51,2
Londrina;2021;5700;387,4;9,1;843,1;989,8;477,8;34
Londrina;2022;5700;612;12,8;1005;2100,8;910,6;230,4
Passo Fundo;2006;4800;225;10,4;130;254,7;119,8;31,1
Passo Fundo;2007;4800;206,7;14,6;141,1;311,7;112,3;32
Passo Fundo;2008;5400;173,8;10,8;193,3;563,6;177,6;42,7
Passo Fundo;2009;5400;201,5;10,8;232,6;425,5;209,9;40,6
Passo Fundo;2010;5400;204,1;10,8;254,4;388,7;173,3;38,2
Passo Fundo;2011;5400;206,8;11,4;281,8;454,5;101,2;47,8
Passo Fundo;2012;5400;212,1;14;378,8;536,1;106;53,8
Passo Fundo;2013;7500;179;0;484;754,9;200,4;167,4
Passo Fundo;2014;7500;190,6;18,9;484;808,1;234,4;58,8
Passo Fundo;2015;7500;202,8;37,1;544,5;921,9;261,8;94,6
Passo Fundo;2016;7500;206,8;37,4;597,3;924,5;268,7;98
Passo Fundo;2017;7500;207,5;38;660;805,3;274;102,3
Passo Fundo;2018;7500;249,2;38,6;660;737,5;248,9;91,6
Passo Fundo;2019;7500;260,8;40,4;704;957,5;276,5;91,2
Passo Fundo;2020;7500;272,4;42,1;704;983;255,1;91,2
Passo Fundo;2021;7500;316,3;44,1;616;1669,5;323,2;84,9
Passo Fundo;2022;9600;669,2;0;1283,5;4425;785,9;545,9
Ubiratã;2006;0;0;0;0;0;0;0
Ubiratã;2007;0;0;0;0;0;0;0
Ubiratã;2008;4000;117,9;6,6;231,7;422,1;91,8;43,5
Ubiratã;2009;4000;119,2;6,1;216;331,4;96,5;34
Ubiratã;2010;4000;113,9;7,1;304,1;238,9;80,2;33,1
Ubiratã;2011;4000;125,4;7,1;103,4;301,6;73,1;-19,1
Ubiratã;2012;4000;133,4;7,1;102,6;317,2;82,2;22,3
Ubiratã;2013;4000;123,3;6;102;366,1;114,6;23,6
Ubiratã;2014;5700;52,2;5,4;437,8;300,8;256,4;36,2
Ubiratã;2015;5700;57,2;10,8;407,4;358,8;282;38,2
Ubiratã;2016;5700;64,1;10,8;473,2;375;278,8;41,3
Ubiratã;2017;5700;68,8;10,8;522,2;350;280,2;42,2
Ubiratã;2018;5700;68,8;10,8;518,8;337,5;263,4;41,6
Ubiratã;2019;5400;197,3;4,2;500;480,1;384,4;66,7
Ubiratã;2020;5400;212,6;6,1;526;597;442;42,2
Ubiratã;2021;5400;256,3;5,9;625;906,8;467,4;24,5
Ubiratã;2022;5400;401,3;7,2;833,3;1984,3;795,2;219,5
